id,timestamp,group_name,nutrient_id,rda,ul,active,user_id
600,2023-03-03 02:11:50,male 19-30,0,2700.0,,1,0
601,2023-03-03 02:11:50,male 19-30,1,130.0,,1,0
602,2023-03-03 02:11:50,male 19-30,2,38.0,,1,0
603,2023-03-03 02:11:50,male 19-30,3,56.0,,1,0
604,2023-03-03 02:11:50,male 19-30,4,,,1,0
605,2023-03-03 02:11:50,male 19-30,5,,,1,0
606,2023-03-03 02:11:50,male 19-30,6,,,1,0
607,2023-03-03 02:11:50,male 19-30,7,,,1,0
608,2023-03-03 02:11:50,male 19-30,8,,,1,0
609,2023-03-03 02:11:50,male 19-30,9,,,1,0
610,2023-03-03 02:11:50,male 19-30,10,0.375,,1,0
611,2023-03-03 02:11:50,male 19-30,11,0.0009,0.003,1,0
612,2023-03-03 02:11:50,male 19-30,12,0.0012,,1,0
613,2023-03-03 02:11:50,male 19-30,13,0.0013,,1,0
614,2023-03-03 02:11:50,male 19-30,14,0.016,0.035,1,0
615,2023-03-03 02:11:50,male 19-30,15,0.005,,1,0
616,2023-03-03 02:11:50,male 19-30,16,0.0013,0.1,1,0
617,2023-03-03 02:11:50,male 19-30,17,2.4e-06,,1,0
618,2023-03-03 02:11:50,male 19-30,18,0.09,2.0,1,0
619,2023-03-03 02:11:50,male 19-30,19,1.5e-05,0.0001,1,0
620,2023-03-03 02:11:50,male 19-30,20,0.015,1.0,1,0
621,2023-03-03 02:11:50,male 19-30,21,0.00012,,1,0
622,2023-03-03 02:11:50,male 19-30,22,0.55,3.5,1,0
623,2023-03-03 02:11:50,male 19-30,23,0.0004,0.001,1,0
624,2023-03-03 02:11:50,male 19-30,24,1.0,2.5,1,0
625,2023-03-03 02:11:50,male 19-30,25,2.3,3.6,1,0
626,2023-03-03 02:11:50,male 19-30,26,3.5e-05,,1,0
627,2023-03-03 02:11:50,male 19-30,27,0.0009,0.01,1,0
628,2023-03-03 02:11:50,male 19-30,28,0.004,0.01,1,0
629,2023-03-03 02:11:50,male 19-30,29,0.00015,0.0011,1,0
630,2023-03-03 02:11:50,male 19-30,30,0.008,0.045,1,0
631,2023-03-03 02:11:50,male 19-30,31,0.4,0.35,1,0
632,2023-03-03 02:11:50,male 19-30,32,0.0023,0.011,1,0
633,2023-03-03 02:11:50,male 19-30,33,0.7,4.0,1,0
634,2023-03-03 02:11:50,male 19-30,34,3.4,,1,0
635,2023-03-03 02:11:50,male 19-30,35,5.5e-05,0.0004,1,0
636,2023-03-03 02:11:50,male 19-30,36,1.5,,1,0
637,2023-03-03 02:11:50,male 19-30,37,,,1,0
638,2023-03-03 02:11:50,male 19-30,38,0.011,0.04,1,0
639,2023-03-03 02:11:50,male 19-30,39,,,1,0
640,2023-03-03 02:11:50,male 19-30,40,,,1,0
641,2023-03-03 02:11:50,male 19-30,41,,,1,0
642,2023-03-03 02:11:50,male 19-30,42,,,1,0
643,2023-03-03 02:11:50,male 19-30,43,,,1,0
644,2023-03-03 02:11:50,male 19-30,44,,,1,0
645,2023-03-03 02:11:50,male 19-30,45,3.0e-05,,1,0
646,2023-03-03 02:11:50,male 19-30,46,4.5e-05,0.002,1,0
647,2023-03-03 02:11:50,male 19-30,47,17.0,,1,0
648,2023-03-03 02:11:50,male 19-30,48,1.6,,1,0
649,2023-03-03 02:11:50,male 19-30,49,,0.001,1,0
650,2023-03-03 02:11:50,male 19-30,50,,0.02,1,0
651,2023-03-03 02:11:50,male 19-30,51,,,1,0
652,2023-03-03 02:11:50,male 19-30,52,,,1,0
653,2023-03-03 02:11:50,male 19-30,53,,,1,0
654,2023-03-03 02:11:50,male 19-30,54,,0.0018,1,0
655,2023-03-03 02:11:50,male 19-30,55,24.0,,1,0
656,2023-03-03 02:11:50,male 19-30,56,,,1,0
657,2023-03-03 02:11:50,male 19-30,57,25.0,40.0,1,0
658,2023-03-03 02:11:50,male 19-30,58,,,1,0
659,2023-03-03 02:11:50,male 19-30,59,,,1,0
720,2023-03-04 00:41:49,Active Male 19-30 75kg,0,2020.0,,1,0
721,2023-03-04 00:41:49,Active Male 19-30 75kg,1,130.0,,1,0
722,2023-03-04 00:41:49,Active Male 19-30 75kg,2,38.0,,1,0
723,2023-03-04 00:41:49,Active Male 19-30 75kg,3,130.0,,1,0
724,2023-03-04 00:41:49,Active Male 19-30 75kg,4,,,1,0
725,2023-03-04 00:41:49,Active Male 19-30 75kg,5,,,1,0
726,2023-03-04 00:41:49,Active Male 19-30 75kg,6,,,1,0
727,2023-03-04 00:41:49,Active Male 19-30 75kg,7,,,1,0
728,2023-03-04 00:41:49,Active Male 19-30 75kg,8,,,1,0
729,2023-03-04 00:41:49,Active Male 19-30 75kg,9,,,1,0
730,2023-03-04 00:41:49,Active Male 19-30 75kg,10,0.375,,1,0
731,2023-03-04 00:41:49,Active Male 19-30 75kg,11,0.0009,0.003,1,0
732,2023-03-04 00:41:49,Active Male 19-30 75kg,12,0.0012,,1,0
733,2023-03-04 00:41:49,Active Male 19-30 75kg,13,0.0013,,1,0
734,2023-03-04 00:41:49,Active Male 19-30 75kg,14,0.016,0.045,1,0
735,2023-03-04 00:41:49,Active Male 19-30 75kg,15,0.005,,1,0
736,2023-03-04 00:41:49,Active Male 19-30 75kg,16,0.0013,0.1,1,0
737,2023-03-04 00:41:49,Active Male 19-30 75kg,17,2.4e-06,,1,0
738,2023-03-04 00:41:49,Active Male 19-30 75kg,18,0.09,2.0,1,0
739,2023-03-04 00:41:49,Active Male 19-30 75kg,19,1.5e-05,0.0001,1,0
740,2023-03-04 00:41:49,Active Male 19-30 75kg,20,0.015,1.0,1,0
741,2023-03-04 00:41:49,Active Male 19-30 75kg,21,0.00012,,1,0
742,2023-03-04 00:41:49,Active Male 19-30 75kg,22,0.55,3.5,1,0
743,2023-03-04 00:41:49,Active Male 19-30 75kg,23,0.0004,0.001,1,0
744,2023-03-04 00:41:49,Active Male 19-30 75kg,24,1.4,2.5,1,0
745,2023-03-04 00:41:49,Active Male 19-30 75kg,25,2.3,3.6,1,0
746,2023-03-04 00:41:49,Active Male 19-30 75kg,26,3.5e-05,,1,0
747,2023-03-04 00:41:49,Active Male 19-30 75kg,27,0.0009,0.01,1,0
748,2023-03-04 00:41:49,Active Male 19-30 75kg,28,0.004,0.01,1,0
749,2023-03-04 00:41:49,Active Male 19-30 75kg,29,0.00015,0.0011,1,0
750,2023-03-04 00:41:49,Active Male 19-30 75kg,30,0.008,0.045,1,0
751,2023-03-04 00:41:49,Active Male 19-30 75kg,31,0.4,0.35,1,0
752,2023-03-04 00:41:49,Active Male 19-30 75kg,32,0.0023,0.011,1,0
753,2023-03-04 00:41:49,Active Male 19-30 75kg,33,0.7,4.0,1,0
754,2023-03-04 00:41:49,Active Male 19-30 75kg,34,3.4,,1,0
755,2023-03-04 00:41:49,Active Male 19-30 75kg,35,5.5e-05,0.0004,1,0
756,2023-03-04 00:41:49,Active Male 19-30 75kg,36,1.5,,1,0
757,2023-03-04 00:41:49,Active Male 19-30 75kg,37,,,1,0
758,2023-03-04 00:41:49,Active Male 19-30 75kg,38,0.011,0.04,1,0
759,2023-03-04 00:41:49,Active Male 19-30 75kg,39,,,1,0
760,2023-03-04 00:41:49,Active Male 19-30 75kg,40,,,1,0
761,2023-03-04 00:41:49,Active Male 19-30 75kg,41,,,1,0
762,2023-03-04 00:41:49,Active Male 19-30 75kg,42,,,1,0
763,2023-03-04 00:41:49,Active Male 19-30 75kg,43,,,1,0
764,2023-03-04 00:41:49,Active Male 19-30 75kg,44,,,1,0
765,2023-03-04 00:41:49,Active Male 19-30 75kg,45,3.0e-05,,1,0
766,2023-03-04 00:41:49,Active Male 19-30 75kg,46,4.5e-05,0.002,1,0
767,2023-03-04 00:41:49,Active Male 19-30 75kg,47,17.0,,1,0
768,2023-03-04 00:41:49,Active Male 19-30 75kg,48,1.6,,1,0
769,2023-03-04 00:41:49,Active Male 19-30 75kg,49,,0.001,1,0
770,2023-03-04 00:41:49,Active Male 19-30 75kg,50,,0.02,1,0
771,2023-03-04 00:41:49,Active Male 19-30 75kg,51,,,1,0
772,2023-03-04 00:41:49,Active Male 19-30 75kg,52,,,1,0
773,2023-03-04 00:41:49,Active Male 19-30 75kg,53,,,1,0
774,2023-03-04 00:41:49,Active Male 19-30 75kg,54,,0.0018,1,0
775,2023-03-04 00:41:49,Active Male 19-30 75kg,55,24.0,,1,0
776,2023-03-04 00:41:49,Active Male 19-30 75kg,56,,,1,0
777,2023-03-04 00:41:49,Active Male 19-30 75kg,57,25.0,40.0,1,0
778,2023-03-04 00:41:49,Active Male 19-30 75kg,58,,,1,0
779,2023-03-04 00:41:49,Active Male 19-30 75kg,59,,,1,0
